общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
180,100,14,3/5,4,1920,Площадь Александра Невского,3,110000,4-комнатная квартира,Отделка — евроремонт,?,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,2,1,?,1,21,1,?,?,?,?,1,?,?,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/8406850119630735104/;
"25,5",15,?,11/11,3,2021,Старая Деревня,8,33000,квартира-студия,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,1,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,1,?,?,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4975831256626580224/;
21,17,?,5/7,3,2023,Пушкинская,5,45000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,1,?,1,?,?,?,?,?,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3888840773967939840/;
50,40,?,4/5,3,1900,Достоевская,8,55000,квартира-студия,Отделка — евроремонт,раздельный,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,7,1,?,1,?,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7815168219323897857/;
60,37,13,3/6,?,1937,Площадь Восстания,5,65000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,?,?,?,?,?,?,1,?,?,Кирпичное здание,2,1,?,1,27,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672993990757/;
25,?,?,28/29,"2,7",2022,Купчино,5,33990,апартаменты-студия,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8721581690858723841/;
28,16,?,8/9,"2,8",2020,Фрунзенская,10,40000,квартира-студия,Отделка — евроремонт,совмещённый,1,?,1,1,1,1,1,1,?,Застройщик Группа «Эталон»,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,1,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/4402024721631620865/;
31,19,6,1/5,?,1959,Московская,5,36000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,?,Кирпичное здание,3,?,?,1,60,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7662053335188772353/;
20,?,?,2/4,?,1917,Обводный канал,6,37000,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,5,?,?,1,39,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7002935170052912128/;
40,16,11,14/16,"2,7",2015,Девяткино,8,40000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,?,Застройщик ГК Полис,1,Монолитное здание,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1881762342606656513/;
25,10,8,2/5,4,1900,Обводный канал,5,40000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1198245566448247041/;
70,40,9,8/12,"2,55",1990,Беговая,8,50000,3-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,?,1,?,?,Панельное здание,4,1,1,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/3866335910996802561/;
40,25,6,1/4,"3,5",1865,Сенная Площадь,4,38000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,10,?,?,1,?,1,?,?,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1197720498035925505/;
55,43,10,4/6,"3,4",1803,Невский проспект,4,200000,2-комнатные апартаменты,?,?,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,3,1,?,1,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7756009979459455674/;
65,49,12,15/15,?,2005,Улица Дыбенко,9,43000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,1,?,?,1,Панельное здание,5,1,1,?,371,1,?,?,?,1,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/602095351521745153/;
52,?,?,10/25,"2,7",2006,Комендантский проспект,6,50500,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,?,1,?,1,1,?,?,?,1,Кирпично-монолитное здание,9,1,?,1,1174,1,1,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3380543746631084605/;
38,25,?,1/5,"3,55",1898,Площадь Восстания,8,35000,квартира-студия,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,5,1,1,1,64,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2482357526337740033/;
26,?,?,14/26,"2,7",2023,Купчино,5,30000,апартаменты-студия,Отделка — косметический ремонт,совмещённый,?,1,?,?,?,?,?,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3203576984158806528/;
145,106,30,7/9,2,1973,Проспект Ветеранов,5,70000,4-комнатная квартира,Отделка — евроремонт,?,?,1,1,1,1,1,1,1,?,?,?,Кирпичное здание,?,1,?,?,?,?,?,?,1,?,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,1,?,https://realty.ya.ru/offer/2800970301451415040/;
255,?,47,6/7,3,1900,Горьковская,6,320000,7-комнатная квартира,Отделка — евроремонт,?,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,?,1,?,1,48,1,?,?,?,?,1,?,1,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/6472682737122086144/;
40,?,?,4/7,"2,8",1911,Чкаловская,6,42000,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,1,1,?,1,Кирпичное здание,4,1,?,?,20,1,?,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/957921604865262592/;
25,15,?,1/5,"2,8",1908,Выборгская,7,35000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,2,?,?,1,28,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8417637749247378944/;
25,19,?,11/29,"2,7",2022,Купчино,5,38000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7968334368696070912/;
"50,2",24,10,3/11,"2,7",2023,Лиговский Проспект,6,80000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,1,1,Застройщик АртИК,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,?,?,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178063985985724/;
49,14,6,8/10,?,?,Лиговский Проспект,8,110000,1-комнатные апартаменты,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,1,?,Застройщик ГК «Пионер»,1,Монолитное здание,?,1,1,1,?,?,1,1,1,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178061350196316/;
26,?,?,3/25,"2,75",2016,Девяткино,8,26000,квартира-студия,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,?,Застройщик ГК Полис,1,?,4,1,1,1,1128,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1354431261194152961/;
60,?,9,1/5,"3,25",1940,Новочеркасская,7,65000,2-комнатная квартира,Отделка — евроремонт,раздельный,1,?,?,1,1,1,1,1,?,?,1,Кирпичное здание,5,1,?,1,56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6817146271032446976/;
71,?,?,1/5,?,1912,Петроградская,10,76000,1-комнатная квартира,Отделка — дизайнерский ремонт,?,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,?,?,?,1,?,1,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6321525364875212089/;
176,78,18,16/17,"2,8",2007,Беговая,2,500000,3-комнатная квартира,Отделка — дизайнерский ремонт,?,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,6,1,1,1,475,?,1,?,?,?,1,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,1,https://realty.ya.ru/offer/8299957563345808544/;
39,?,?,11/25,"2,7",2011,Парнас,10,51500,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,?,1,Застройщик Главстрой Регионы,1,?,5,1,1,1,?,1,?,?,?,1,1,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8868119833700825300/;
15,?,?,3/5,3,1871,Маяковская,7,36000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,?,1,?,1,?,1,Кирпичное здание,5,1,?,1,38,1,?,?,?,?,1,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8920954670392206336/;
41,18,10,3/7,3,1906,Чкаловская,2,65000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,6,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923617718325/;
21,?,?,3/4,3,1888,Лиговский Проспект,4,33000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,?,Кирпичное здание,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/501931305182759937/;
42,18,10,20/27,"2,75",2010,Рыбацкое,7,30000,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,4,1,1,1,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5499800353294671361/;
105,65,11,5/5,"3,2",1881,Технологический институт,5,125000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,?,1,1,1,1,1,1,?,1,Кирпичное здание,?,?,?,1,54,?,1,?,?,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672993986973/;
31,17,6,4/5,?,1963,Пролетарская,9,24000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Панельное здание,?,?,?,1,90,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3520637093750492673/;
37,19,9,13/15,3,2016,Проспект Ветеранов,6,35000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,?,Застройщик Коннолахтинский 55,1,Кирпичное здание,?,1,?,1,266,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7881261743542111232/;
63,38,13,3/25,"2,75",2007,Академическая,4,40000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Монолитное здание,7,1,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665168769/;
19,14,?,4/10,?,2020,Лиговский Проспект,8,43800,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик ГК «Пионер»,1,?,?,1,1,?,?,?,?,?,1,?,1,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5775603614751029248/;
35,?,?,2/2,3,2019,Площадь Восстания,9,64000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,1,1,1,1,1,1,1,?,1,Застройщик RBI,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5079379044753946625/;
20,?,?,3/5,?,1901,Горьковская,9,34990,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,7,1,?,1,?,1,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7632794162149591297/;
43,25,11,2/5,?,1858,Площадь Восстания,6,50000,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,?,?,?,?,?,?,?,1,?,1,Кирпично-монолитное здание,2,?,1,1,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672995773284/;
52,34,8,9/10,"2,5",1976,Международная,6,43000,2-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,23,1,1,1,889,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4521416328248849921/;
87,50,10,4/5,"3,2",1910,Балтийская,7,150000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,?,?,?,?,?,?,1,?,1,Монолитное здание,?,1,?,1,23,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672997649284/;
28,25,?,4/4,"4,5",1792,Гостиный двор,8,50000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,9,?,?,1,84,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5993022309010136065/;
63,?,?,7/12,3,2016,Электросила,4,89500,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,1,1,Застройщик СМ-Девелопмент,1,Монолитное здание,15,1,1,1,?,?,1,?,1,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/681466480476449605/;
"35,9","21,4","6,7",11/12,"2,5",1968,Проспект Ветеранов,5,45000,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,2,1,1,1,?,1,?,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3052600245875802625/;
23,18,?,6/16,?,2014,Проспект Просвещения,7,35000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,?,Застройщик ГК «Пионер»,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8328256732865386241/;
37,18,"8,2",5/10,"2,6",1992,Беговая,10,35000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,1,1,1,1,1,1,1,?,1,?,?,Панельное здание,11,1,1,1,436,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3075825406059761152/;
69,44,13,3/5,"3,5",1980,Достоевская,8,85000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,?,?,1,1,1,?,?,?,1,Кирпичное здание,9,?,?,1,84,?,1,1,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672995597540/;
62,?,?,8/9,"2,5",1974,Пионерская,5,71500,3-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,?,1,1,?,1,?,?,Панельное здание,9,1,1,1,328,1,1,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1483048885084914728/;
22,17,5,1/6,"3,8",1902,Маяковская,1,45000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,?,1,1,1,?,?,1,?,1,Кирпичное здание,5,1,?,1,?,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672993959936/;
24,12,?,8/18,?,?,Бухарестская,4,47000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,1,?,"Застройщики TMG group, ЮИТ",?,Кирпично-монолитное здание,?,?,?,1,?,?,1,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672995802022/;
39,?,?,2/5,3,1917,Спасская,6,58000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,7,?,?,1,23,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1976388223663696911/;
35,32,?,5/12,"2,8",2022,Автово,10,45000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,Застройщик Петербургская Строительная Компания,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3774556960450640385/;
55,25,20,8/24,"2,8",2018,Московская,6,85000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,1,1,Застройщик Л1 cтроительная компания №1,?,?,?,1,?,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2273666181469872641/;
34,21,?,4/4,?,1873,Лиговский Проспект,5,80000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,?,1,1,1,?,?,?,Кирпичное здание,?,?,?,1,?,?,?,1,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178062954384680/;
77,?,?,2/5,?,1939,Новочеркасская,9,63000,3-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,?,1,?,1,1,1,1,?,1,Кирпичное здание,5,?,?,1,54,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3979257832259701158/;
20,?,?,3/4,?,1756,Сенная Площадь,5,36000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,?,?,?,1,36,1,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1818752613595066881/;
48,?,11,1/5,?,1903,Лиговский Проспект,8,50000,1-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923509638410/;
18,15,?,3/7,3,2023,Пушкинская,5,35000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,1,?,1,?,?,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7882908668749167872/;
60,40,"7,5",5/5,3,1855,Садовая,8,60000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,?,Кирпичное здание,3,?,?,1,?,?,?,?,?,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/165301638696088065/;
"40,5",17,9,1/12,"2,7",1974,Приморская,6,45000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,?,Панельное здание,2,1,1,1,163,1,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3487799204990737664/;
66,25,15,2/4,"3,2",1875,Василеостровская,4,60000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,5,?,?,?,65,1,?,?,?,?,1,1,?,?,?,1,?,1,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/8644547697588566784/;
25,?,?,11/12,"2,7",2022,Автово,10,33000,апартаменты-студия,?,?,?,?,?,?,?,?,?,?,?,Застройщик Петербургская Строительная Компания,1,Кирпично-монолитное здание,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/177838673736188161/;
"37,8","14,8",9,4/26,"2,65",2011,Парнас,6,25000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,Застройщик Главстрой Регионы,1,?,4,1,1,1,1691,1,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7766450505847597057/;
31,16,7,6/9,"2,5",1968,Академическая,10,45000,1-комнатная квартира,?,?,?,?,?,1,1,1,1,?,?,?,?,Панельное здание,7,1,1,1,392,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3222704792171012609/;
55,?,15,3/10,"2,75",2020,Фрунзенская,10,60000,2-комнатная квартира,Отделка — дизайнерский ремонт,?,1,?,?,?,?,?,?,?,1,Застройщик Группа «Эталон»,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4628782999801997854/;
39,19,9,7/16,"2,75",2009,Звёздная,8,34000,1-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,?,1,Застройщик ЛСР. Недвижимость – Северо-Запад,1,Панельное здание,3,1,1,1,303,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2617056604524429057/;
45,?,16,4/4,"2,5",2021,Удельная,7,150000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,1,?,Застройщик PRK-Group,?,Монолитное здание,?,?,?,1,1,?,1,1,?,?,1,1,1,?,?,?,1,?,?,?,?,?,?,?,?,1,?,?,https://realty.ya.ru/offer/6989123672995806979/;
45,30,"14,5",10/16,3,2022,Фрунзенская,4,70000,2-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,?,1,1,1,1,?,1,Застройщик Группа Аквилон,1,Кирпично-монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672993959812/;
54,"32,5","10,5",12/12,"2,65",1983,Дунайская,8,35000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,1,?,?,Панельное здание,9,1,1,1,664,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6241823498083308288/;
24,14,?,4/10,"2,7",2023,Ломоносовская,10,39600,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,1,1,Застройщик Setl Group,1,Кирпично-монолитное здание,?,1,?,1,?,?,1,?,?,?,1,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4754909152650329754/;
"43,1",28,"5,5",2/5,"2,75",1960,Фрунзенская,7,30000,1-комнатная квартира,?,раздельный,?,?,?,1,?,1,1,?,?,?,1,Кирпичное здание,?,?,?,1,100,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6277929468793682567/;
24,21,?,15/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259142189/;
52,28,12,2/4,"3,5",1854,Чернышевская,7,120000,1-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,?,?,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5753149979668098049/;
31,?,?,5/20,"2,7",2014,Балтийская,8,40000,квартира-студия,Отделка — евроремонт,совмещённый,1,?,1,1,1,1,1,?,1,Застройщик Главстрой Регионы,1,Кирпично-монолитное здание,20,1,1,?,980,?,?,?,1,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5167825136900344321/;
78,47,22,16/19,?,?,Фрунзенская,9,83000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,1,Застройщик Л1 cтроительная компания №1,?,Кирпично-монолитное здание,?,?,?,1,?,?,?,?,?,?,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672993987713/;
80,50,11,8/16,"2,7",2008,Проспект Славы,9,50000,3-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,2,1,1,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/4863151348101943297/;
