общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URL,0
55,32,8,0.4,"2,9",1957,5,32000,2.0,1,1,0,0,1,1,1,1,1,0,1,0.0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://realty.ya.ru/offer/7178485310120305153/;,Кировский завод
82,0,0,0.6,3,1916,6,83500,3.0,2,2,0,1,1,1,0,1,1,0,1,0.0,1,3,10,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8008384822524639968/;,Достоевская
18,0,0,0.5,0,1899,8,46000,0.5,2,2,0,1,1,1,0,1,1,0,1,0.0,1,3,0,0,0,1,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2274900600968268964/;,Маяковская
23,0,0,0.5833333333333334,3,2020,9,36000,0.5,0,0,0,0,0,0,0,0,0,0,0,11.0,1,4,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8021889054381623297/;,Старая Деревня
45,18,12,0.5,0,1864,5,65000,1.0,3,2,0,0,1,1,1,1,1,1,0,0.0,0,3,0,0,0,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5203055392665168807/;,Достоевская
29,0,0,0.68,"2,6",2021,8,32000,0.5,2,2,0,1,0,1,1,1,1,0,0,4.0,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3246972189775249409/;,Пролетарская
21,0,0,0.6,0,1883,5,47500,1.0,2,2,0,1,0,1,0,1,1,0,0,0.0,1,3,0,0,0,1,8,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8897864418620095496/;,Горьковская
15,0,0,0.2,0,1873,7,30000,0.5,2,2,0,1,1,1,1,1,1,0,0,0.0,1,3,2,1,0,1,36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/9071309503362465537/;,Технологический институт
39,18,10,0.4230769230769231,"2,8",2008,10,33000,1.0,2,1,1,0,1,0,1,1,1,0,1,0.0,1,5,8,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4851322442674181889/;,Комендантский проспект
141,0,0,0.3333333333333333,"2,8",2003,7,156500,4.0,2,0,1,1,1,1,0,1,1,1,1,0.0,1,5,12,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5773463187366674981/;,Пионерская
25,0,0,0.8333333333333334,"2,7",2022,10,33000,0.5,3,2,0,0,1,1,1,1,1,0,1,4.0,1,4,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5395751353505758977/;,Автово
47,21,8,0.8333333333333334,"2,5",1968,9,43000,2.0,-1,1,0,0,1,1,1,1,1,0,0,0.0,1,3,1,1,1,1,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5226793084419315557/;,Площадь Мужества
14,9,0,0.5,0,1907,6,27000,0.5,2,0,0,1,1,1,1,1,1,0,0,0.0,1,3,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4471907011169543746/;,Чкаловская
"37,7",18,10,1.0,"2,7",2015,9,43000,1.0,1,2,1,0,0,1,1,1,1,0,0,6.0,1,5,2,1,1,0,171,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2935156859536623360/;,Проспект Славы
